,hh_id,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,weighted_sum,multi_poor,ind_id_count
123,622,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
124,623,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,9
125,624,0.0,0.0,0.0,1.0,1,0,1,0.0,0,1,0.3333333333333333,1.0,1
126,625,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
127,702,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
128,703,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
129,704,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0,0.0555555555555555,0.0,4
130,705,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,5
131,706,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
132,707,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,7
133,708,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
134,709,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,2
135,710,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
136,711,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
137,712,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0555555555555555,0.0,1
138,713,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
139,714,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
140,715,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
141,716,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
142,717,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,3
143,718,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0.0555555555555555,0.0,8
144,720,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,4
145,721,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,3
146,722,0.0,0.0,0.0,0.0,1,1,0,1.0,1,1,0.2777777777777778,0.0,5
147,724,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
148,801,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
149,802,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
150,803,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
151,804,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
152,805,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
154,807,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
155,808,0.0,1.0,0.0,0.0,1,0,0,0.0,0,0,0.2222222222222222,0.0,6
156,809,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
157,810,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
158,811,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
159,812,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
160,813,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,2
161,814,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0555555555555555,0.0,4
162,815,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
163,816,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,7
164,817,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
165,818,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
166,819,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
167,820,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0555555555555555,0.0,3
168,821,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
169,822,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
170,824,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
171,901,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
172,902,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
173,903,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
